Order_ID,Order_Date,Customer_ID,Customer_Segment,Region,Country,Product_ID,Product_Category,Product_Name,Quantity,Unit_Price,Unit_Cost,Revenue,Cost,Profit,Sales_Rep,Payment_Method,Order_Status
ORD-10028,2024-01-28,CUST-198,Consumer,Asia-Pacific,Singapore,PRD-01,Electronics,Laptop Pro 14,5,1200,900,6000,4500,1500,Omar Hassan,Transfer,Pending
ORD-10029,2024-01-29,CUST-501,Corporate,Europe,Netherlands,PRD-02,Electronics,Tablet Air 10,2,600,520,1200,1040,160,Fahad Al Saud,Card,Returned
ORD-10030,2024-01-30,CUST-322,Small Business,Middle East,Saudi Arabia,PRD-03,Furniture,Office Chair Deluxe,4,320,250,1280,1000,280,Lucas Pereira,Card,Completed
ORD-10031,2024-01-31,CUST-201,Corporate,North America,United States,PRD-04,Furniture,Standing Desk Pro,5,850,700,4250,3500,750,Alex Morgan,Cash,Pending
ORD-10032,2024-02-01,CUST-305,Consumer,Europe,Germany,PRD-05,Electronics,Wireless Monitor 27,1,450,380,450,380,70,Daniel Smith,Card,Completed
ORD-10033,2024-02-02,CUST-178,Small Business,Asia-Pacific,Australia,PRD-06,Office Supply,Wireless Mouse,1,25,18,25,18,7,Sophie Klein,Cash,Completed
ORD-10034,2024-02-03,CUST-412,Corporate,Middle East,United Arab Emirates,PRD-07,Office Supplies,Paper Ream A4,3,6,3,18,9,9,Marie Dubois,Card,Completed
ORD-10035,2024-02-04,CUST-256,Consumer,South America,Brazil,PRD-08,Furniture,Conference Table,3,2200,2000,6600,6000,600,Jan de Vries,Card,Completed
ORD-10036,2024-02-05,CUST-389,Small Business,Europe,France,PRD-09,Office Supplies,Ink Cartridge XL,5,45,40,225,200,25,Liam Chen,Transfer,Completed
ORD-10037,2024-02-06,CUST-144,Corporate,North America,Canada,PRD-01,Electronics,Laptop Pro 14,1,1200,900,1200,900,300,Wei Zhang,Cash,Completed
ORD-10038,2024-02-07,CUST-198,Consumer,Asia-Pacific,Singapore,PRD-02,Electronics,Tablet Air 10,4,600,520,2400,2080,320,Omar Hassan,Transfer,Completed
ORD-10039,2024-02-08,CUST-501,Corporate,Europe,Netherlands,PRD-03,Furniture,Office Chair Deluxe,7,320,250,2240,1750,490,Fahad Al Saud,Cash,Pending
ORD-10040,2024-02-09,CUST-322,Small Business,Middle East,Saudi Arabia,PRD-04,Furniture,Standing Desk Pro,3,850,700,2550,2100,450,Lucas Pereira,Transfer,Completed
ORD-10041,2024-02-10,CUST-201,Corporate,North America,United States,PRD-05,Electronics,Wireless Monitor 27,3,450,380,1350,1140,210,Alex Morgan,Card,Completed
ORD-10042,2024-02-11,CUST-305,Consumer,Europe,Germany,PRD-06,Office Supply,Wireless Mouse,5,25,18,125,90,35,Daniel Smith,Cash,Completed
ORD-10043,2024-02-12,CUST-178,Small Business,Asia-Pacific,Australia,PRD-07,Office Supplies,Paper Ream A4,1,6,3,6,3,3,Sophie Klein,Card,Completed
ORD-10044,2024-02-13,CUST-412,Corporate,Middle East,United Arab Emirates,PRD-08,Furniture,Conference Table,7,2200,2000,15400,14000,1400,Marie Dubois,Cash,Completed
ORD-10045,2024-02-14,CUST-256,Consumer,South America,Brazil,PRD-09,Office Supplies,Ink Cartridge XL,1,45,40,45,40,5,Jan de Vries,Cash,Completed
ORD-10046,2024-02-15,CUST-389,Small Business,Europe,France,PRD-01,Electronics,Laptop Pro 14,2,1200,900,2400,1800,600,Liam Chen,Card,Completed
ORD-10047,2024-02-16,CUST-144,Corporate,North America,Canada,PRD-02,Electronics,Tablet Air 10,7,600,520,4200,3640,560,Wei Zhang,Cash,Completed
ORD-10048,2024-02-17,CUST-198,Consumer,Asia-Pacific,Singapore,PRD-03,Furniture,Office Chair Deluxe,4,320,250,1280,1000,280,Omar Hassan,Card,Returned
ORD-10049,2024-02-18,CUST-501,Corporate,Europe,Netherlands,PRD-04,Furniture,Standing Desk Pro,6,850,700,5100,4200,900,Fahad Al Saud,Card,Pending
ORD-10050,2024-02-19,CUST-322,Small Business,Middle East,Saudi Arabia,PRD-05,Electronics,Wireless Monitor 27,7,450,380,3150,2660,490,Lucas Pereira,Cash,Pending
ORD-10051,2024-02-20,CUST-201,Corporate,North America,United States,PRD-06,Office Supply,Wireless Mouse,4,25,18,100,72,28,Alex Morgan,Card,Completed
ORD-10052,2024-02-21,CUST-305,Consumer,Europe,Germany,PRD-07,Office Supplies,Paper Ream A4,3,6,3,18,9,9,Daniel Smith,Transfer,Returned
ORD-10053,2024-02-22,CUST-178,Small Business,Asia-Pacific,Australia,PRD-08,Furniture,Conference Table,2,2200,2000,4400,4000,400,Sophie Klein,Transfer,Pending
ORD-10054,2024-02-23,CUST-412,Corporate,Middle East,United Arab Emirates,PRD-09,Office Supplies,Ink Cartridge XL,6,45,40,270,240,30,Marie Dubois,Card,Pending
ORD-10055,2024-02-24,CUST-256,Consumer,South America,Brazil,PRD-01,Electronics,Laptop Pro 14,6,1200,900,7200,5400,1800,Jan de Vries,Transfer,Completed
ORD-10056,2024-02-25,CUST-389,Small Business,Europe,France,PRD-02,Electronics,Tablet Air 10,2,600,520,1200,1040,160,Liam Chen,Cash,Returned
ORD-10057,2024-02-26,CUST-144,Corporate,North America,Canada,PRD-03,Furniture,Office Chair Deluxe,1,320,250,320,250,70,Wei Zhang,Cash,Completed
ORD-10058,2024-02-27,CUST-198,Consumer,Asia-Pacific,Singapore,PRD-04,Furniture,Standing Desk Pro,1,850,700,850,700,150,Omar Hassan,Card,Completed
ORD-10059,2024-02-28,CUST-501,Corporate,Europe,Netherlands,PRD-05,Electronics,Wireless Monitor 27,6,450,380,2700,2280,420,Fahad Al Saud,Card,Returned
ORD-10060,2024-02-29,CUST-322,Small Business,Middle East,Saudi Arabia,PRD-06,Office Supply,Wireless Mouse,5,25,18,125,90,35,Lucas Pereira,Card,Completed
ORD-10061,2024-03-01,CUST-201,Corporate,North America,United States,PRD-07,Office Supplies,Paper Ream A4,7,6,3,42,21,21,Alex Morgan,Transfer,Completed
ORD-10062,2024-03-02,CUST-305,Consumer,Europe,Germany,PRD-08,Furniture,Conference Table,1,2200,2000,2200,2000,200,Daniel Smith,Transfer,Pending
ORD-10063,2024-03-03,CUST-178,Small Business,Asia-Pacific,Australia,PRD-09,Office Supplies,Ink Cartridge XL,1,45,40,45,40,5,Sophie Klein,Cash,Completed
ORD-10064,2024-03-04,CUST-412,Corporate,Middle East,United Arab Emirates,PRD-01,Electronics,Laptop Pro 14,4,1200,900,4800,3600,1200,Marie Dubois,Cash,Completed
ORD-10065,2024-03-05,CUST-256,Consumer,South America,Brazil,PRD-02,Electronics,Tablet Air 10,6,600,520,3600,3120,480,Jan de Vries,Card,Returned
ORD-10066,2024-03-06,CUST-389,Small Business,Europe,France,PRD-03,Furniture,Office Chair Deluxe,1,320,250,320,250,70,Liam Chen,Transfer,Completed
ORD-10067,2024-03-07,CUST-144,Corporate,North America,Canada,PRD-04,Furniture,Standing Desk Pro,2,850,700,1700,1400,300,Wei Zhang,Transfer,Completed
ORD-10068,2024-03-08,CUST-198,Consumer,Asia-Pacific,Singapore,PRD-05,Electronics,Wireless Monitor 27,3,450,380,1350,1140,210,Omar Hassan,Card,Pending
ORD-10069,2024-03-09,CUST-501,Corporate,Europe,Netherlands,PRD-06,Office Supply,Wireless Mouse,1,25,18,25,18,7,Fahad Al Saud,Card,Completed
ORD-10070,2024-03-10,CUST-322,Small Business,Middle East,Saudi Arabia,PRD-07,Office Supplies,Paper Ream A4,1,6,3,6,3,3,Lucas Pereira,Transfer,Completed
ORD-10071,2024-03-11,CUST-201,Corporate,North America,United States,PRD-08,Furniture,Conference Table,4,2200,2000,8800,8000,800,Alex Morgan,Transfer,Pending
ORD-10072,2024-03-12,CUST-305,Consumer,Europe,Germany,PRD-09,Office Supplies,Ink Cartridge XL,1,45,40,45,40,5,Daniel Smith,Card,Completed
ORD-10073,2024-03-13,CUST-178,Small Business,Asia-Pacific,Australia,PRD-01,Electronics,Laptop Pro 14,6,1200,900,7200,5400,1800,Sophie Klein,Transfer,Pending
ORD-10074,2024-03-14,CUST-412,Corporate,Middle East,United Arab Emirates,PRD-02,Electronics,Tablet Air 10,4,600,520,2400,2080,320,Marie Dubois,Transfer,Returned
ORD-10075,2024-03-15,CUST-256,Consumer,South America,Brazil,PRD-03,Furniture,Office Chair Deluxe,7,320,250,2240,1750,490,Jan de Vries,Cash,Completed
ORD-10076,2024-03-16,CUST-389,Small Business,Europe,France,PRD-04,Furniture,Standing Desk Pro,1,850,700,850,700,150,Liam Chen,Cash,Pending
ORD-10077,2024-03-17,CUST-144,Corporate,North America,Canada,PRD-05,Electronics,Wireless Monitor 27,4,450,380,1800,1520,280,Wei Zhang,Transfer,Completed
ORD-10078,2024-03-18,CUST-198,Consumer,Asia-Pacific,Singapore,PRD-06,Office Supply,Wireless Mouse,7,25,18,175,126,49,Omar Hassan,Card,Completed
ORD-10079,2024-03-19,CUST-501,Corporate,Europe,Netherlands,PRD-07,Office Supplies,Paper Ream A4,4,6,3,24,12,12,Fahad Al Saud,Cash,Pending
ORD-10080,2024-03-20,CUST-322,Small Business,Middle East,Saudi Arabia,PRD-08,Furniture,Conference Table,3,2200,2000,6600,6000,600,Lucas Pereira,Cash,Returned
ORD-10081,2024-03-21,CUST-201,Corporate,North America,United States,PRD-09,Office Supplies,Ink Cartridge XL,3,45,40,135,120,15,Alex Morgan,Transfer,Completed
ORD-10082,2024-03-22,CUST-305,Consumer,Europe,Germany,PRD-01,Electronics,Laptop Pro 14,7,1200,900,8400,6300,2100,Daniel Smith,Cash,Returned
ORD-10083,2024-03-23,CUST-178,Small Business,Asia-Pacific,Australia,PRD-02,Electronics,Tablet Air 10,7,600,520,4200,3640,560,Sophie Klein,Card,Completed
ORD-10084,2024-03-24,CUST-412,Corporate,Middle East,United Arab Emirates,PRD-03,Furniture,Office Chair Deluxe,7,320,250,2240,1750,490,Marie Dubois,Transfer,Completed
ORD-10085,2024-03-25,CUST-256,Consumer,South America,Brazil,PRD-04,Furniture,Standing Desk Pro,3,850,700,2550,2100,450,Jan de Vries,Card,Completed
ORD-10086,2024-03-26,CUST-389,Small Business,Europe,France,PRD-05,Electronics,Wireless Monitor 27,2,450,380,900,760,140,Liam Chen,Cash,Completed
ORD-10087,2024-03-27,CUST-144,Corporate,North America,Canada,PRD-06,Office Supply,Wireless Mouse,3,25,18,75,54,21,Wei Zhang,Cash,Returned
ORD-10088,2024-03-28,CUST-198,Consumer,Asia-Pacific,Singapore,PRD-07,Office Supplies,Paper Ream A4,2,6,3,12,6,6,Omar Hassan,Card,Returned
ORD-10089,2024-03-29,CUST-501,Corporate,Europe,Netherlands,PRD-08,Furniture,Conference Table,4,2200,2000,8800,8000,800,Fahad Al Saud,Card,Completed
ORD-10090,2024-03-30,CUST-322,Small Business,Middle East,Saudi Arabia,PRD-09,Office Supplies,Ink Cartridge XL,1,45,40,45,40,5,Lucas Pereira,Transfer,Returned
ORD-10091,2024-03-31,CUST-201,Corporate,North America,United States,PRD-01,Electronics,Laptop Pro 14,5,1200,900,6000,4500,1500,Alex Morgan,Card,Completed
ORD-10092,2024-04-01,CUST-305,Consumer,Europe,Germany,PRD-02,Electronics,Tablet Air 10,7,600,520,4200,3640,560,Daniel Smith,Card,Completed
ORD-10093,2024-04-02,CUST-178,Small Business,Asia-Pacific,Australia,PRD-03,Furniture,Office Chair Deluxe,3,320,250,960,750,210,Sophie Klein,Cash,Completed
ORD-10094,2024-04-03,CUST-412,Corporate,Middle East,United Arab Emirates,PRD-04,Furniture,Standing Desk Pro,4,850,700,3400,2800,600,Marie Dubois,Transfer,Completed
ORD-10095,2024-04-04,CUST-256,Consumer,South America,Brazil,PRD-05,Electronics,Wireless Monitor 27,4,450,380,1800,1520,280,Jan de Vries,Cash,Completed
ORD-10096,2024-04-05,CUST-389,Small Business,Europe,France,PRD-06,Office Supply,Wireless Mouse,4,25,18,100,72,28,Liam Chen,Transfer,Returned
ORD-10097,2024-04-06,CUST-144,Corporate,North America,Canada,PRD-07,Office Supplies,Paper Ream A4,6,6,3,36,18,18,Wei Zhang,Cash,Completed
ORD-10098,2024-04-07,CUST-198,Consumer,Asia-Pacific,Singapore,PRD-08,Furniture,Conference Table,3,2200,2000,6600,6000,600,Omar Hassan,Card,Pending
ORD-10099,2024-04-08,CUST-501,Corporate,Europe,Netherlands,PRD-09,Office Supplies,Ink Cartridge XL,2,45,40,90,80,10,Fahad Al Saud,Transfer,Completed
ORD-10100,2024-04-09,CUST-322,Small Business,Middle East,Saudi Arabia,PRD-01,Electronics,Laptop Pro 14,2,1200,900,2400,1800,600,Lucas Pereira,Transfer,Completed
ORD-10101,2024-04-10,CUST-201,Corporate,North America,United States,PRD-02,Electronics,Tablet Air 10,5,600,520,3000,2600,400,Alex Morgan,Card,Returned
ORD-10102,2024-04-11,CUST-305,Consumer,Europe,Germany,PRD-03,Furniture,Office Chair Deluxe,1,320,250,320,250,70,Daniel Smith,Card,Pending
ORD-10103,2024-04-12,CUST-178,Small Business,Asia-Pacific,Australia,PRD-04,Furniture,Standing Desk Pro,4,850,700,3400,2800,600,Sophie Klein,Cash,Completed
ORD-10104,2024-04-13,CUST-412,Corporate,Middle East,United Arab Emirates,PRD-05,Electronics,Wireless Monitor 27,1,450,380,450,380,70,Marie Dubois,Card,Returned
ORD-10105,2024-04-14,CUST-256,Consumer,South America,Brazil,PRD-06,Office Supply,Wireless Mouse,3,25,18,75,54,21,Jan de Vries,Cash,Pending
ORD-10106,2024-04-15,CUST-389,Small Business,Europe,France,PRD-07,Office Supplies,Paper Ream A4,3,6,3,18,9,9,Liam Chen,Transfer,Completed
ORD-10107,2024-04-16,CUST-144,Corporate,North America,Canada,PRD-08,Furniture,Conference Table,3,2200,2000,6600,6000,600,Wei Zhang,Transfer,Pending
ORD-10108,2024-04-17,CUST-198,Consumer,Asia-Pacific,Singapore,PRD-09,Office Supplies,Ink Cartridge XL,6,45,40,270,240,30,Omar Hassan,Card,Returned
ORD-10109,2024-04-18,CUST-501,Corporate,Europe,Netherlands,PRD-01,Electronics,Laptop Pro 14,7,1200,900,8400,6300,2100,Fahad Al Saud,Card,Pending
ORD-10110,2024-04-19,CUST-322,Small Business,Middle East,Saudi Arabia,PRD-02,Electronics,Tablet Air 10,4,600,520,2400,2080,320,Lucas Pereira,Card,Completed
ORD-10111,2024-04-20,CUST-201,Corporate,North America,United States,PRD-03,Furniture,Office Chair Deluxe,4,320,250,1280,1000,280,Alex Morgan,Cash,Completed
ORD-10112,2024-04-21,CUST-305,Consumer,Europe,Germany,PRD-04,Furniture,Standing Desk Pro,1,850,700,850,700,150,Daniel Smith,Transfer,Pending
ORD-10113,2024-04-22,CUST-178,Small Business,Asia-Pacific,Australia,PRD-05,Electronics,Wireless Monitor 27,6,450,380,2700,2280,420,Sophie Klein,Card,Completed
ORD-10114,2024-04-23,CUST-412,Corporate,Middle East,United Arab Emirates,PRD-06,Office Supply,Wireless Mouse,4,25,18,100,72,28,Marie Dubois,Card,Pending
ORD-10115,2024-04-24,CUST-256,Consumer,South America,Brazil,PRD-07,Office Supplies,Paper Ream A4,5,6,3,30,15,15,Jan de Vries,Card,Pending
ORD-10116,2024-04-25,CUST-389,Small Business,Europe,France,PRD-08,Furniture,Conference Table,7,2200,2000,15400,14000,1400,Liam Chen,Cash,Returned
ORD-10117,2024-04-26,CUST-144,Corporate,North America,Canada,PRD-09,Office Supplies,Ink Cartridge XL,1,45,40,45,40,5,Wei Zhang,Cash,Pending
ORD-10118,2024-04-27,CUST-198,Consumer,Asia-Pacific,Singapore,PRD-01,Electronics,Laptop Pro 14,5,1200,900,6000,4500,1500,Omar Hassan,Cash,Completed
ORD-10119,2024-04-28,CUST-501,Corporate,Europe,Netherlands,PRD-02,Electronics,Tablet Air 10,3,600,520,1800,1560,240,Fahad Al Saud,Transfer,Completed
ORD-10120,2024-04-29,CUST-322,Small Business,Middle East,Saudi Arabia,PRD-03,Furniture,Office Chair Deluxe,2,320,250,640,500,140,Lucas Pereira,Cash,Completed
ORD-10121,2024-04-30,CUST-201,Corporate,North America,United States,PRD-04,Furniture,Standing Desk Pro,3,850,700,2550,2100,450,Alex Morgan,Transfer,Completed
ORD-10122,2024-05-01,CUST-305,Consumer,Europe,Germany,PRD-05,Electronics,Wireless Monitor 27,7,450,380,3150,2660,490,Daniel Smith,Transfer,Completed
ORD-10123,2024-05-02,CUST-178,Small Business,Asia-Pacific,Australia,PRD-06,Office Supply,Wireless Mouse,7,25,18,175,126,49,Sophie Klein,Cash,Completed
ORD-10124,2024-05-03,CUST-412,Corporate,Middle East,United Arab Emirates,PRD-07,Office Supplies,Paper Ream A4,2,6,3,12,6,6,Marie Dubois,Transfer,Completed
ORD-10125,2024-05-04,CUST-256,Consumer,South America,Brazil,PRD-08,Furniture,Conference Table,1,2200,2000,2200,2000,200,Jan de Vries,Card,Completed
ORD-10126,2024-05-05,CUST-389,Small Business,Europe,France,PRD-09,Office Supplies,Ink Cartridge XL,6,45,40,270,240,30,Liam Chen,Cash,Pending
ORD-10127,2024-05-06,CUST-144,Corporate,North America,Canada,PRD-01,Electronics,Laptop Pro 14,2,1200,900,2400,1800,600,Wei Zhang,Cash,Completed
ORD-10128,2024-05-07,CUST-198,Consumer,Asia-Pacific,Singapore,PRD-02,Electronics,Tablet Air 10,3,600,520,1800,1560,240,Omar Hassan,Transfer,Completed
ORD-10129,2024-05-08,CUST-501,Corporate,Europe,Netherlands,PRD-03,Furniture,Office Chair Deluxe,5,320,250,1600,1250,350,Fahad Al Saud,Transfer,Completed
ORD-10130,2024-05-09,CUST-322,Small Business,Middle East,Saudi Arabia,PRD-04,Furniture,Standing Desk Pro,4,850,700,3400,2800,600,Lucas Pereira,Card,Returned
ORD-10131,2024-05-10,CUST-201,Corporate,North America,United States,PRD-05,Electronics,Wireless Monitor 27,1,450,380,450,380,70,Alex Morgan,Transfer,Returned
ORD-10132,2024-05-11,CUST-305,Consumer,Europe,Germany,PRD-06,Office Supply,Wireless Mouse,3,25,18,75,54,21,Daniel Smith,Cash,Returned
ORD-10133,2024-05-12,CUST-178,Small Business,Asia-Pacific,Australia,PRD-07,Office Supplies,Paper Ream A4,2,6,3,12,6,6,Sophie Klein,Transfer,Completed
ORD-10134,2024-05-13,CUST-412,Corporate,Middle East,United Arab Emirates,PRD-08,Furniture,Conference Table,1,2200,2000,2200,2000,200,Marie Dubois,Transfer,Pending
ORD-10135,2024-05-14,CUST-256,Consumer,South America,Brazil,PRD-09,Office Supplies,Ink Cartridge XL,6,45,40,270,240,30,Jan de Vries,Transfer,Completed
ORD-10136,2024-05-15,CUST-389,Small Business,Europe,France,PRD-01,Electronics,Laptop Pro 14,6,1200,900,7200,5400,1800,Liam Chen,Card,Returned
ORD-10137,2024-05-16,CUST-144,Corporate,North America,Canada,PRD-02,Electronics,Tablet Air 10,2,600,520,1200,1040,160,Wei Zhang,Transfer,Completed
ORD-10138,2024-05-17,CUST-198,Consumer,Asia-Pacific,Singapore,PRD-03,Furniture,Office Chair Deluxe,4,320,250,1280,1000,280,Omar Hassan,Card,Completed
ORD-10139,2024-05-18,CUST-501,Corporate,Europe,Netherlands,PRD-04,Furniture,Standing Desk Pro,5,850,700,4250,3500,750,Fahad Al Saud,Card,Returned
ORD-10140,2024-05-19,CUST-322,Small Business,Middle East,Saudi Arabia,PRD-05,Electronics,Wireless Monitor 27,6,450,380,2700,2280,420,Lucas Pereira,Card,Returned
ORD-10141,2024-05-20,CUST-201,Corporate,North America,United States,PRD-06,Office Supply,Wireless Mouse,6,25,18,150,108,42,Alex Morgan,Cash,Completed
ORD-10142,2024-05-21,CUST-305,Consumer,Europe,Germany,PRD-07,Office Supplies,Paper Ream A4,7,6,3,42,21,21,Daniel Smith,Card,Completed
ORD-10143,2024-05-22,CUST-178,Small Business,Asia-Pacific,Australia,PRD-08,Furniture,Conference Table,4,2200,2000,8800,8000,800,Sophie Klein,Transfer,Completed
ORD-10144,2024-05-23,CUST-412,Corporate,Middle East,United Arab Emirates,PRD-09,Office Supplies,Ink Cartridge XL,1,45,40,45,40,5,Marie Dubois,Cash,Completed
ORD-10145,2024-05-24,CUST-256,Consumer,South America,Brazil,PRD-01,Electronics,Laptop Pro 14,4,1200,900,4800,3600,1200,Jan de Vries,Transfer,Completed
ORD-10146,2024-05-25,CUST-389,Small Business,Europe,France,PRD-02,Electronics,Tablet Air 10,5,600,520,3000,2600,400,Liam Chen,Transfer,Pending
ORD-10147,2024-05-26,CUST-144,Corporate,North America,Canada,PRD-03,Furniture,Office Chair Deluxe,6,320,250,1920,1500,420,Wei Zhang,Cash,Completed
ORD-10148,2024-05-27,CUST-198,Consumer,Asia-Pacific,Singapore,PRD-04,Furniture,Standing Desk Pro,4,850,700,3400,2800,600,Omar Hassan,Card,Completed
ORD-10149,2024-05-28,CUST-501,Corporate,Europe,Netherlands,PRD-05,Electronics,Wireless Monitor 27,2,450,380,900,760,140,Fahad Al Saud,Transfer,Completed
ORD-10150,2024-05-29,CUST-322,Small Business,Middle East,Saudi Arabia,PRD-06,Office Supply,Wireless Mouse,7,25,18,175,126,49,Lucas Pereira,Transfer,Completed
ORD-10151,2024-05-30,CUST-201,Corporate,North America,United States,PRD-07,Office Supplies,Paper Ream A4,5,6,3,30,15,15,Alex Morgan,Card,Completed
ORD-10152,2024-05-31,CUST-305,Consumer,Europe,Germany,PRD-08,Furniture,Conference Table,5,2200,2000,11000,10000,1000,Daniel Smith,Cash,Pending
ORD-10153,2024-06-01,CUST-178,Small Business,Asia-Pacific,Australia,PRD-09,Office Supplies,Ink Cartridge XL,6,45,40,270,240,30,Sophie Klein,Card,Completed
ORD-10154,2024-06-02,CUST-412,Corporate,Middle East,United Arab Emirates,PRD-01,Electronics,Laptop Pro 14,4,1200,900,4800,3600,1200,Marie Dubois,Transfer,Completed
ORD-10155,2024-06-03,CUST-256,Consumer,South America,Brazil,PRD-02,Electronics,Tablet Air 10,5,600,520,3000,2600,400,Jan de Vries,Transfer,Completed
ORD-10156,2024-06-04,CUST-389,Small Business,Europe,France,PRD-03,Furniture,Office Chair Deluxe,5,320,250,1600,1250,350,Liam Chen,Transfer,Returned
ORD-10157,2024-06-05,CUST-144,Corporate,North America,Canada,PRD-04,Furniture,Standing Desk Pro,5,850,700,4250,3500,750,Wei Zhang,Cash,Completed
ORD-10158,2024-06-06,CUST-198,Consumer,Asia-Pacific,Singapore,PRD-05,Electronics,Wireless Monitor 27,6,450,380,2700,2280,420,Omar Hassan,Transfer,Returned
ORD-10159,2024-06-07,CUST-501,Corporate,Europe,Netherlands,PRD-06,Office Supply,Wireless Mouse,5,25,18,125,90,35,Fahad Al Saud,Transfer,Completed
ORD-10160,2024-06-08,CUST-322,Small Business,Middle East,Saudi Arabia,PRD-07,Office Supplies,Paper Ream A4,5,6,3,30,15,15,Lucas Pereira,Cash,Returned
